Date,Deaths,ObjectId
2019-12-31,
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,1
2020-03-06,1
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,1
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,2
2020-03-15,1
2020-03-16,
2020-03-17,3
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-21,7
2020-03-22,4
2020-03-23,5
2020-03-24,14
2020-03-25,20
2020-03-26,13
2020-03-27,18
2020-03-28,12
2020-03-29,19
2020-03-30,22
2020-03-31,31
2020-04-01,32
2020-04-02,36
2020-04-03,30
2020-04-04,36
2020-04-05,43
2020-04-06,44
2020-04-07,45
2020-04-08,43
2020-04-09,39
2020-04-10,41
2020-04-11,41
2020-04-12,35
2020-04-13,45
2020-04-14,49
2020-04-15,42
2020-04-16,43
2020-04-17,56
2020-04-18,39
2020-04-19,49
2020-04-20,50
2020-04-21,47
2020-04-22,43
2020-04-23,52
2020-04-24,39
2020-04-25,40
2020-04-26,50
2020-04-27,42
2020-04-28,52
2020-04-29,44
2020-04-30,51
2020-05-01,52
2020-05-02,30
2020-05-03,40
2020-05-04,59
2020-05-05,37
2020-05-06,49
2020-05-07,41
2020-05-08,34
2020-05-09,32
2020-05-10,38
2020-05-11,39
2020-05-12,42
2020-05-13,38
2020-05-14,44
2020-05-15,32
2020-05-16,31
2020-05-17,31
2020-05-18,21
2020-05-19,30
2020-05-20,32
2020-05-21,24
2020-05-22,15
2020-05-23,25
2020-05-24,9
2020-05-25,13
2020-05-26,4
