EventDate,Count
2020-01-01,3
2020-01-02,
2020-01-03,
2020-01-04,2
2020-01-05,
2020-01-06,2
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,1
2020-01-13,
2020-01-14,2
2020-01-15,6
2020-01-16,
2020-01-17,
2020-01-18,1
2020-01-19,1
2020-01-20,5
2020-01-21,
2020-01-22,
2020-01-23,1
2020-01-24,1
2020-01-25,2
2020-01-26,
2020-01-27,1
2020-01-28,
2020-01-29,
2020-01-30,1
2020-01-31,3
2020-02-01,10
2020-02-02,3
2020-02-03,2
2020-02-04,3
2020-02-05,2
2020-02-06,4
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,4
2020-02-11,1
2020-02-12,6
2020-02-13,3
2020-02-14,6
2020-02-15,9
2020-02-16,2
2020-02-17,5
2020-02-18,7
2020-02-19,5
2020-02-20,10
2020-02-21,6
2020-02-22,10
2020-02-23,7
2020-02-24,9
2020-02-25,15
2020-02-26,7
2020-02-27,8
2020-02-28,22
2020-02-29,14
2020-03-01,76
2020-03-02,44
2020-03-03,46
2020-03-04,51
2020-03-05,71
2020-03-06,79
2020-03-07,89
2020-03-08,87
2020-03-09,162
2020-03-10,243
2020-03-11,269
2020-03-12,270
2020-03-13,382
2020-03-14,404
2020-03-15,595
2020-03-16,696
2020-03-17,734
2020-03-18,786
2020-03-19,669
2020-03-20,974
2020-03-21,692
2020-03-22,658
2020-03-23,988
2020-03-24,781
2020-03-25,924
2020-03-26,823
2020-03-27,903
2020-03-28,841
2020-03-29,750
2020-03-30,1013
2020-03-31,806
2020-04-01,1102
2020-04-02,891
2020-04-03,883
2020-04-04,839
2020-04-05,795
2020-04-06,989
2020-04-07,798
2020-04-08,788
2020-04-09,763
2020-04-10,947
2020-04-11,682
2020-04-12,597
2020-04-13,768
2020-04-14,656
2020-04-15,838
2020-04-16,766
2020-04-17,754
2020-04-18,628
2020-04-19,540
2020-04-20,851
2020-04-21,623
2020-04-22,654
2020-04-23,788
2020-04-24,664
2020-04-25,579
2020-04-26,491
2020-04-27,687
2020-04-28,635
2020-04-29,588
2020-04-30,653
2020-05-01,774
2020-05-02,608
2020-05-03,487
2020-05-04,612
2020-05-05,637
2020-05-06,591
2020-05-07,693
2020-05-08,654
2020-05-09,547
2020-05-10,684
2020-05-11,658
2020-05-12,727
2020-05-13,801
2020-05-14,924
2020-05-15,607
2020-05-16,609
2020-05-17,581
2020-05-18,633
2020-05-19,594
2020-05-20,718
2020-05-21,681
2020-05-22,756
2020-05-23,656
2020-05-24,575
2020-05-25,686
2020-05-26,538
2020-05-27,593
2020-05-28,622
2020-05-29,536
2020-05-30,501
2020-05-31,448
2020-06-01,495
2020-06-02,482
2020-06-03,988
2020-06-04,128
